displacement,velocity,d_theta,class
395.24,3.16,1.31,0
15,0.2,0.7,0
65.44,0.52,0,0
58,0.6,0.1,0
2.74,0.08,0.02,1
517.22,4.14,1.81,0
7,0.21,0.17,1
136.58,1.09,0.29,0
37,1.1,0.6,0
55,0.8,0.3,0
522.32,4.18,0.83,0
568.86,4.55,1.38,0
59,0.7,0.5,0
34,0.8,0.3,0
2.28,0.07,0.05,1
2.43,0.07,0.02,1
29,0.8,0.5,0
75,1.2,0.7,0
17.93,0.14,0,0
78.7,0.63,0.07,0
1.41,0.04,0.04,1
64,0.6,0.4,0
53,0.7,0.3,0
70.65,0.57,0.09,0
355.04,2.84,1.87,0
2.03,0.06,0.06,1
2.08,0.06,0.09,1
2.92,0.09,0.01,1
63.8,0.51,0.11,0
45,0.6,0.2,0
49,0.5,0.6,0
32,1.1,0.3,0
67,0.4,0.3,0
6.47,0.19,0.37,1
22,0.9,0.6,0
400.03,3.2,1.65,0
58,0.7,0.1,0
56,0.4,0.4,0
3.05,0.09,0.09,1
22,1,0.4,0
405.76,3.25,1.36,0
4.98,0.15,0.25,1
408.16,3.27,1.21,0
2.32,0.07,0.07,1
44,1,0.6,0
73.23,0.59,0.08,0
2.41,0.07,0.04,1
18.8,0.15,0,0
354.09,2.83,1.69,0
7.15,0.21,0.01,1
366.36,2.93,1.73,0
51,0.1,0.5,0
2.4,0.07,0.04,1
3.32,0.1,0.07,1
412.85,3.3,1.62,0
40,0.5,0.3,0
40,0.2,0.6,0
124.05,0.99,0.09,0
5.55,0.17,0.04,1
422.61,3.38,0.88,0
78,1.1,0.5,0
53,0.3,0.3,0
2.39,0.07,0.07,1
138.69,1.11,0.48,0
17,0.4,0.4,0
356.6,2.85,1.84,0
17.2,0.14,0.27,0
73,1.2,0.3,0
19,1.2,0.3,0
3.2,0.1,0.09,1
3.97,0.12,0.22,1
3.11,0.09,0.01,1
5.64,0.17,0.06,1
1.97,0.06,0.06,1
2.02,0.06,0,1
2.4,0.07,0.03,1
1.63,0.05,0.05,1
3.82,0.12,0.23,1
47,0.7,0.6,0
1.64,0.05,0.05,1
523.88,4.19,1.13,0
29,1.2,0.4,0
46,0.3,0.3,0
1.12,0.03,0.05,1
37,0.6,0.3,0
40,0.9,0.5,0
15,0.4,0.4,0
25,0.7,0.3,0
17.73,0.14,0.13,0
343.54,2.75,1.08,0
79,0.9,0.7,0
56,1,0.2,0
168.92,1.35,1.31,0
389.87,3.12,1.3,0
48,1.1,0.3,0
31,1,0.5,0
65.75,0.53,0.1,0
242.17,1.94,0.08,0
172.13,1.38,0.34,0
3.39,0.1,0.06,1
53.47,0.43,0,0
33,0.7,0.2,0
2.52,0.08,0.09,1
1.42,0.04,0.06,1
303.76,2.43,1.06,0
45,0.9,0.3,0
9.3,0.28,0.17,1
16,1.1,0.3,0
1.86,0.06,0.07,1
65,1.1,0.7,0
42,0.2,0.2,0
2.63,0.08,0.07,1
2.45,0.07,0.03,1
36.97,0.3,0.19,0
425.5,3.4,1.58,0
44,0.6,0.5,0
40,1,0.1,0
2.51,0.08,0.04,1
18,0.9,0.5,0
21,1,0.7,0
2.58,0.08,0.02,1
4.74,0.14,0.04,1
524.67,4.2,1.68,0
57.43,0.46,0.02,0
73.94,0.59,1.33,0
46,0.3,0.3,0
110.99,0.89,2.76,0
2.28,0.07,0.05,1
441.87,3.53,1.91,0
42,0.8,0.3,0
3.9,0.12,0.03,1
41,1.1,0.2,0
56,1,0.7,0
4.83,0.15,0.21,1
1.51,0.05,0.11,1
4.46,0.13,0.16,1
3.38,0.1,0.06,1
3.4,0.1,0.18,1
23,1.2,0.2,0
16,0.6,0.3,0
2.84,0.09,0.12,1
431.56,3.45,1.07,0
2.8,0.08,0.05,1
2.25,0.07,0,1
80,0.8,0.6,0
557.05,4.46,1.65,0
27,0.9,0.6,0
2.9,0.09,0.02,1
73,0.8,0.3,0
76,0.2,0.5,0
3.51,0.11,0.01,1
56.73,0.45,0,0
3.22,0.1,0.01,1
16.46,0.13,0.27,0
579.73,4.64,0,0
492.15,3.94,1.17,0
3.21,0.1,0.07,1
1.55,0.05,0.04,1
3.61,0.11,0.08,1
58,1.2,0.4,0
27.69,0.22,0.08,0
348.44,2.79,1.48,0
42,0.6,0.6,0
1.49,0.05,0.04,1
2.12,0.06,0.07,1
4.18,0.13,0.26,1
52,0.2,0.4,0
124.79,1,0,0
246.82,1.97,1.58,0
38,0.7,0.1,0
1.81,0.05,0.03,1
31,1.1,0.4,0
48,1,0.4,0
44.03,0.35,0.14,0
43,0.5,0.2,0
41,0.6,0.4,0
40,1,0.5,0
64.22,0.51,0.07,0
29,1.1,0.5,0
1.47,0.04,0.04,1
82.35,0.66,0.12,0
1.98,0.06,0.35,1
24,0.7,0.5,0
50,1.2,0.7,0
0,0,0.06,1
390.79,3.13,0.64,0
29,0.5,0.1,0
67,0.9,0.7,0
30,0.5,0.4,0
54,1.2,0.4,0
79.39,0.64,1.5,0
52,0.6,0.7,0
85.41,0.68,2.81,0
4.48,0.13,0.01,1
79,0.3,0.3,0
27.16,0.22,1.75,0
317.23,2.54,1.71,0
24,0.7,0.3,0
91.65,0.73,0.13,0
54,0.9,0.3,0
18.44,0.15,0,0
14,1.2,0.4,0
2.18,0.07,0.04,1
2.75,0.08,0.02,1
20,0.9,0.4,0
50,0.5,0.7,0
17.1,0.14,0.23,0
134.69,1.08,0.47,0
3.19,0.1,0.14,1
4.47,0.13,0.14,1
199,1.59,0.06,0
34,1,0.4,0
230.62,1.85,0.27,0
0,0,0,1
461.02,3.69,1.15,0
2.6,0.08,0.03,1
373.6,2.99,1.4,0
28.38,0.23,0.72,0
2.96,0.09,0.22,1
1.92,0.06,0.02,1
406.04,3.25,1.17,0
2.39,0.07,0.03,1
3.02,0.09,0.04,1
30,0.8,0.5,0
346.04,2.77,1.25,0
364.9,2.92,1.78,0
5.63,0.17,0.38,1
3.54,0.11,0.03,1
62,0.8,0.4,0
51,0.9,0.3,0
34,0.5,0.2,0
72,0.8,0.7,0
2.4,0.07,0.02,1
424.91,3.4,1.45,0
57,1,0.4,0
2.8,0.08,0.06,1
2.56,0.08,0.07,1
62,0.8,0.7,0
202.91,1.62,1.31,0
2.14,0.06,0.53,1
80.94,0.65,0.02,0
2.72,0.08,0.13,1
22,0.6,0.3,0
35,0.5,0.6,0
2.55,0.08,0.18,1
17.58,0.14,0,0
23,0.6,0.6,0
2.1,0.06,0.01,1
62.83,0.5,0.1,0
471.64,3.77,1.24,0
53,1.2,0.3,0
36.55,0.29,0,0
46.91,0.38,1.17,0
15,0.6,0.5,0
59,0.1,0.6,0
40,1,0.2,0
2.33,0.07,0.33,1
58,0.4,0.4,0
486.57,3.89,0.8,0
299.49,2.4,1.09,0
16.55,0.13,0,0
395.39,3.16,1.51,0
27.39,0.22,0,0
2.24,0.07,0.01,1
108.79,0.87,0.14,0
267.81,2.14,0.23,0
5.78,0.17,0.53,1
3.15,0.1,0.11,1
239.76,1.92,1.3,0
76.98,0.62,0.17,0
3.54,0.11,0.16,1
49,0.3,0.3,0
88.41,0.71,0.06,0
3.21,0.1,0.08,1
139.38,1.12,0.19,0
2.66,0.08,0.02,1
119.3,0.95,0.21,0
74,0.8,0.3,0
40,1,0.6,0
26.58,0.21,0.12,0
69,0.4,0.7,0
5.96,0.18,0.17,1
517.76,4.14,0,0
47,0.2,0.1,0
6.46,0.19,0.29,1
54,0.6,0.5,0
38.58,0.31,0.23,0
3.27,0.1,0.06,1
387.88,3.1,1.73,0
2.85,0.09,0.09,1
40,0.32,0.59,0
48.1,0.39,0,0
39.58,0.32,0.09,0
3.46,0.1,0.05,1
613.79,4.91,1.49,0
427.78,3.42,1.4,0
19,1.1,0.7,0
38.1,0.3,0.62,0
32,0.5,0.5,0
18.62,0.15,0.03,0
364.07,2.91,1.78,0
35,1.2,0.5,0
2.18,0.07,0.01,1
50.23,0.4,0,0
57.64,0.46,1.77,0
2.14,0.06,0.1,1
29,0.5,0.4,0
521.62,4.17,1.76,0
17,0.4,0.6,0
538.75,4.31,0.91,0
1.85,0.06,0.1,1
33,0.9,0.3,0
362.21,2.9,1.47,0
2.78,0.08,0.02,1
3.02,0.09,0.02,1
48,0.9,0.5,0
2.43,0.07,0.11,1
3.06,0.09,0.01,1
363.2,2.91,1.07,0
2.88,0.09,0.06,1
48.98,0.39,0.06,0
2.79,0.08,0.01,1
47,0.6,0.4,0
4.7,0.14,0.18,1
39.75,0.32,0,0
3.12,0.09,0.08,1
126.11,1.01,0.08,0
1.71,0.05,0.13,1
35.78,0.29,0.02,0
85.85,0.69,0.12,0
14,0.8,0.5,0
15,0.4,0.6,0
10.85,0.09,0,0
186.72,1.49,1.26,0
18.98,0.15,0.01,0
2.61,0.08,0.02,1
41,0.6,0.1,0
109.06,0.87,0.44,0
60,1.2,0.2,0
400.77,3.21,1.23,0
466.79,3.73,1.28,0
1.73,0.05,0.01,1
477.42,3.82,1.44,0
1.71,0.05,0.05,1
542.78,4.34,1.09,0
40,0.32,0.01,0
161.31,1.29,1.65,0
2.48,0.07,0.06,1
231.47,1.85,1.75,0
3.14,0.09,0.19,1
41,0.8,0.2,0
50,0.4,0.06,0
22,0.5,0.2,0
58,0.6,0.1,0
72,0.6,0.5,0
80,0.4,0.7,0
2.31,0.07,0.06,1
4.82,0.15,0.15,1
2.75,0.08,0.09,1
393.38,3.15,0.39,0
78.13,0.63,0.07,0
28,0.7,0.4,0
18.56,0.15,1.58,0
2.82,0.09,0.06,1
2.71,0.08,0.33,1
5.7,0.17,0.03,1
56.74,0.45,0.05,0
1.41,0.04,0.04,1
128.46,1.03,0.09,0
5.87,0.18,0.21,1
2.12,0.06,0.02,1
84.07,0.67,0,0
2.43,0.07,0.06,1
383.89,3.07,1.42,0
50,0.4,0.16,0
40,0.2,0.2,0
2.76,0.08,0.08,1
418.99,3.35,1.03,0
214.65,1.72,0.25,0
57,0.7,0.6,0
31.4,0.25,0.1,0
61.41,0.49,0.43,0
453.98,3.63,1.51,0
59,1.2,0.3,0
103.28,0.83,0.39,0
2.56,0.08,0.06,1
11.89,0.1,0.28,0
22,0.7,0.6,0
49.08,0.39,0.02,0
45,0.8,0.5,0
17.83,0.14,0.23,0
75.94,0.61,0.5,0
47,1.1,0.4,0
