displacement,velocity,d_theta,class
2.94,0.09,0.02,1
0,0,0.26,1
2.98,0.09,0.13,1
58.82,0.47,0,0
56,0.7,0.3,0
92.66,0.74,1.59,0
18,1.1,0.6,0
59,0.8,0.3,0
56,1,0.3,0
2.4,0.07,0.06,1
0,0,0,1
4.78,0.14,0.09,1
11,0.2,0.4,0
1.7,0.05,0.01,1
64.17,0.51,0.32,0
39,1.2,0.5,0
1.71,0.05,0.01,1
28.34,0.23,0,0
1.29,0.04,0.03,1
1.53,0.05,0.04,1
2.97,0.09,0.5,1
0,0,0,1
2.75,0.08,0.05,1
45,0.5,0.3,0
77.42,0.62,0.71,0
253.42,2.03,2.4,0
58,0.3,0.7,0
52,1.1,0.2,0
15.15,0.12,0.15,0
5.26,0.16,0.14,1
1.81,0.05,0.13,1
17,0.9,0.4,0
3.71,0.11,0.08,1
17.95,0.14,1.67,0
35,1.1,0.5,0
309.46,2.48,1.5,0
87.78,0.7,0.06,0
489.07,3.91,1.8,0
66,0.2,0.4,0
70.84,0.57,0.1,0
354.88,2.84,1.63,0
4.16,0.13,0.01,1
25.81,0.21,1.69,0
23.86,0.19,1.68,0
1.52,0.05,0.07,1
43,1,0.5,0
2.62,0.08,0.07,1
41,1.2,0.4,0
17.42,0.14,0.04,0
2.92,0.09,0.05,1
3.61,0.11,0.16,1
2.27,0.07,0.09,1
35,0.6,0.7,0
53,0.3,0.6,0
49.48,0.4,1.25,0
74,1.2,0.7,0
43,0.6,0.5,0
23,0.5,0.4,0
461.03,3.69,1.61,0
48,0.6,0.5,0
6.5,0.2,0.23,1
2.7,0.08,0.13,1
4.15,0.12,0.06,1
58,0.6,0.2,0
38,0.8,0.2,0
331.33,2.65,1.54,0
42,0.7,0.1,0
17,0.2,0.4,0
3.27,0.1,0.12,1
23,0.3,0.1,0
15,0.3,0.3,0
1.68,0.05,0.06,1
2.33,0.07,0.1,1
46.89,0.38,0.17,0
69.72,0.56,0.34,0
6.45,0.19,0.38,1
55,0.7,0.3,0
43,0.2,0.5,0
457.77,3.66,1.4,0
56,0.7,0.4,0
451.56,3.61,2.04,0
3.04,0.09,0.01,1
38,1,0.3,0
6.19,0.19,0.15,1
18.09,0.14,0.09,0
33,0.7,0.5,0
84.13,0.67,0.35,0
1.99,0.06,0.08,1
45,0.3,0.6,0
11.86,0.09,0.02,0
1.64,0.05,0.01,1
44,0.4,0.4,0
34.53,0.28,1.48,0
5.94,0.18,0.27,1
52,1.2,0.5,0
467.67,3.74,1.32,0
2.21,0.07,0.1,1
2.63,0.08,0.03,1
3.38,0.1,0.03,1
42,0.7,0.7,0
3.66,0.11,0.02,1
312.02,2.5,1.05,0
86.33,0.69,0.59,0
58,0.8,0.3,0
17.68,0.14,0.39,0
56.21,0.45,0.18,0
57,0.7,0.4,0
54,0.2,0.6,0
2.42,0.07,0.08,1
3.03,0.09,0.22,1
3.06,0.09,0.21,1
30,0.9,0.6,0
5.14,0.15,0.19,1
499.89,4,1.91,0
2.4,0.07,0.06,1
104.99,0.84,0.2,0
1.35,0.04,0.02,1
2.17,0.07,0.02,1
44,0.3,0.2,0
2.66,0.08,0.05,1
154.65,1.24,0.17,0
12.87,0.1,0,0
2.18,0.07,0.02,1
1.97,0.06,0.08,1
2.52,0.08,0.01,1
39,0.2,0.6,0
60,0.9,0.6,0
1.72,0.05,0,1
86.81,0.69,0.07,0
29,1.1,0.6,0
19,0.3,0.5,0
18,0.6,0.4,0
462.91,3.7,1.48,0
30.37,0.24,0.45,0
2.17,0.07,0.05,1
353.28,2.83,1.1,0
7.49,0.23,0.01,1
425.43,3.4,1.16,0
6.1,0.18,0.33,1
4.18,0.13,0.04,1
2.71,0.08,0.07,1
4.34,0.13,0.2,1
24.63,0.2,0,0
559.62,4.48,1.37,0
294.13,2.35,1.38,0
98.83,0.79,0,0
80,0.5,0.7,0
35.69,0.29,0,0
2.37,0.07,0.03,1
19,0.8,0.6,0
159.92,1.28,0.21,0
364.71,2.92,1.97,0
20,0.9,0.4,0
493.15,3.95,1.66,0
547,4.38,1.3,0
32,0.2,0.3,0
21,0.2,0.1,0
66,0.3,0.4,0
0.78,0.02,0.06,1
563.85,4.51,1.09,0
269.09,2.15,2.06,0
2.04,0.06,0.08,1
26,0.8,0.1,0
1.68,0.05,0.07,1
1.76,0.05,0.09,1
6.59,0.2,0.4,1
33,0.1,0.3,0
22,1.2,0.4,0
430.5,3.44,0.9,0
543.33,4.35,1.83,0
20,1.2,0.4,0
626.59,5.01,1.42,0
22,0.4,0.3,0
53,0.9,0.3,0
1.26,0.04,0.01,1
5.65,0.17,0.02,1
2.17,0.07,0.12,1
370.21,2.96,1.68,0
1.97,0.06,0.05,1
60,0.3,0.6,0
2.28,0.07,0.07,1
19,0.4,0.5,0
73,0.8,0.4,0
78.9,0.63,0.55,0
30.24,0.24,0.06,0
11.93,0.1,0.03,0
54.85,0.44,0.05,0
77.24,0.62,1.61,0
20,1.1,0.1,0
14,1.2,0.3,0
28.27,0.23,1.56,0
26,0.2,0.3,0
2.3,0.07,0.01,1
65.5,0.52,0.01,0
56,0.6,0.1,0
26,0.6,0.4,0
57.83,0.46,0.04,0
2.38,0.07,0,1
5.57,0.17,0.01,1
22.75,0.18,0.01,0
379.11,3.03,1.07,0
76.09,0.61,0,0
51,1.1,0.1,0
380.34,3.04,1.29,0
38,1.1,0.1,0
250.95,2.01,0.89,0
103.97,0.83,0.06,0
1.77,0.05,0.03,1
461.91,3.7,1.03,0
150.7,1.21,0.03,0
174.62,1.4,0.01,0
58,0.7,0.4,0
65.82,0.53,2.24,0
455.06,3.64,1.28,0
1.56,0.05,0.03,1
76.34,0.61,1.77,0
66,0.8,0.7,0
60,0.2,0.3,0
32,0.8,0.2,0
53,0.6,0.3,0
48,0.2,0.4,0
33,0.3,0.5,0
524.86,4.2,1.06,0
1.93,0.06,0.03,1
6.51,0.2,0.16,1
359.83,2.88,2.49,0
3.37,0.1,0.21,1
23,1.2,0.3,0
74,0.3,0.7,0
63,0.1,0.4,0
3.68,0.11,0.06,1
3.97,0.12,0.26,1
36,1,0.4,0
57.55,0.46,0.03,0
57.55,0.46,0.1,0
6.05,0.18,0.01,1
0,0,0,1
2.25,0.07,0.06,1
47.44,0.38,0,0
470.96,3.77,1.37,0
66.4,0.2,0.03,0
426.7,3.41,1.4,0
4.37,0.13,0.22,1
390.23,3.12,1.6,0
33.02,0.26,0.15,0
46,0.3,0.2,0
35.71,0.29,0.07,0
45,0.4,0.2,0
56,0.5,0.6,0
113.88,0.91,0.4,0
2.46,0.07,0.04,1
2.72,0.08,10.73,1
56,0.1,0.6,0
1.77,0.05,10.32,1
370.21,2.96,1.19,0
1.52,0.05,0.07,1
5.1,0.15,0.01,1
2.1,0.06,0.1,1
1.18,0.04,0.02,1
427.98,3.42,1.03,0
2.03,0.06,0.01,1
78,0.7,0.7,0
96.8,0.77,0.12,0
1.43,0.04,0.04,1
19,1.2,0.3,0
53,0.8,0.5,0
77,0.2,0.7,0
421.47,3.37,1.87,0
80.23,0.64,0.03,0
66.88,0.54,0,0
34,1,0.1,0
1.75,0.05,0.02,1
5.45,0.16,0.24,1
34,0.8,0.2,0
373.51,2.99,0.87,0
53.63,0.43,0.13,0
4.67,0.14,0.22,1
25.53,0.2,0.13,0
97.8,0.78,0.04,0
75.52,0.6,0.08,0
47,0.6,0.3,0
64.28,0.51,0.05,0
2.28,0.07,0.09,1
2.69,0.08,0,1
2.32,0.07,0.11,1
31,1,0.6,0
6.07,0.18,0.17,1
45,1.2,0.1,0
19.29,0.15,0,0
146.51,1.17,0.15,0
2.02,0.06,0.06,1
15,0.6,0.5,0
46.68,0.37,0.17,0
3.62,0.11,0.01,1
101.49,0.81,0.08,0
30,0.3,0.4,0
346.32,2.77,1.85,0
35,0.4,0.1,0
273.53,2.19,1.22,0
2.54,0.08,0.05,1
435.41,3.48,1.9,0
47,0.4,0.4,0
503.74,4.03,1.19,0
49,0.3,0.1,0
133.45,1.07,0.01,0
5.25,0.16,0.29,1
27,0.5,0.2,0
1.4,0.04,0.03,1
6.39,0.19,0.07,1
5.75,0.05,0.18,0
422.4,3.38,1.57,0
3.68,0.11,0.21,1
24,0.1,0.4,0
19,0.5,0.7,0
2.03,0.06,0.01,1
500.83,4.01,1.81,0
102.85,0.82,0.1,0
34,0.9,0.1,0
80.73,0.65,0,0
335.46,2.68,1.95,0
39,1.2,0.6,0
206.48,1.65,1.36,0
2.39,0.07,0.04,1
24,0.4,0.2,0
488.4,3.91,1.85,0
22,0.9,0.4,0
47,1.2,0.3,0
2.57,0.08,0.04,1
51,0.8,0.2,0
2.37,0.07,0.2,1
5.33,0.16,0.17,1
14.26,0.11,0.07,0
58,1.2,0.6,0
2.4,0.07,0.06,1
73.17,0.59,0.5,0
4.53,0.14,0.06,1
2.47,0.07,0.04,1
2.27,0.07,0.02,1
3.26,0.1,0.22,1
3.53,0.11,0.21,1
1.42,0.04,0.03,1
42,1,0.4,0
23.18,0.19,0.01,0
17.98,0.14,0,0
499.18,3.99,1.35,0
46,1.1,0.4,0
33,1.1,0.6,0
73,0.1,0.5,0
2.37,0.07,0.08,1
80.62,0.65,0.13,0
584.52,4.68,1.51,0
2.08,0.06,0.36,1
133.39,1.07,0.68,0
126.02,1.01,0.07,0
266.95,2.14,0.89,0
2.13,0.06,0.05,1
6.04,0.18,0.02,1
387.68,3.1,0.82,0
3.1,0.09,0.15,1
19,1.2,0.4,0
22,1.1,0.4,0
55,1.1,0.4,0
344.01,2.75,1.13,0
2.74,0.08,0.01,1
33.87,0.27,2.63,0
1.81,0.05,0.01,1
2.19,0.07,0.11,1
2.64,0.08,0.16,1
6.01,0.18,0.18,1
368.99,2.95,0.16,0
51,0.9,0.1,0
73.33,0.59,0.01,0
30,0.9,0.3,0
4.06,0.12,0.1,1
5.23,0.16,0.25,1
5.84,0.18,0.23,1
27,0.6,0.4,0
62,0.8,0.4,0
1.44,0.04,0.07,1
646.82,5.17,1.13,0
2.71,0.08,0.13,1
54,0.3,0.1,0
24,0.9,0.3,0
3.15,0.09,0.2,1
24.25,0.19,0,0
2.25,0.07,0.14,1
1.46,0.04,0.07,1
335.12,2.68,1.8,0
3.17,0.1,0.04,1
